"Ingles";"Espanol"
"Above";"Encima de"
"Address";"Dirección"
"Afraid";"Asustado"
"After";"Después"
"Age";"Edad"
"All";"Todo"
"All right";"Está bien"
"Along";"A lo largo de"
"Always";"Siempre"
"Another";"Otro"
"Any";"Algún / cualquiera"
"App";"Aplicación"
"Around";"Alrededor de"
"Asleep";"Dormido"
"At (prep of time)";"A las (tiempo)"
"Aunt";"Tía"
"Awake";"Despierto"
"Back";"Espalda"
"Bad";"Malo"
"Badly";"Mal"
"Balcony";"Balcón"
"Band (music)";"Grupo (música)"
"Basement";"Sótano"
"Bat";"Murciélago"
"Be called";"Llamarse"
"Beard";"Barba"
"Because";"Porque"
"Before";"Antes"
"Below";"Debajo"
"Best";"Mejor"
"Better";"Mejor"
"Blanket";"Manta"
"Blond(e)";"Rubio"
"Boring";"Aburrido"
"Both";"Ambos"
"Bottle";"Botella"
"Bottom";"Fondo"
"Bowl";"Cuenco"
"Brave";"Valiente"
"Break";"Romper"
"Brilliant";"Brillante"
"Bring";"Traer"
"Build";"Construir"
"Building";"Edificio"
"Bus station";"Estación de autobuses"
"Bus stop";"Parada de autobús"
"Busy";"Ocupado"
"Buy";"Comprar"
"By";"Por"
"Café";"Cafetería"
"Cage";"Jaula"
"Call";"Llamar"
"Car park";"Aparcamiento"
"Careful";"Cuidadoso"
"Carefully";"Cuidadosamente"
"Carry";"Llevar, transportar"
"Catch (e.g. A bus)";"Coger, atrapar"
"CD";"CD"
"Centre (US center)";"Centro"
"Change";"Cambiar"
"Charlie";"Charlie"
"Cheese";"Queso"
"Cinema";"Cine"
"Circle";"Círculo"
"Circus";"Circo"
"City";"Ciudad"
"City/town centre (US center)";"Centro de la ciudad"
"Clare";"Clare"
"Clever";"Listo"
"Climb";"Escalar"
"Cloud";"Nube"
"Cloudy";"Nublado"
"Clown";"Payaso"
"Coat";"Abrigo"
"Coffee";"Café"
"Cold";"Frío"
"Come on";"Vamos"
"Comic";"Cómic"
"Comic book";"Tebeo"
"Cook";"Cocinar"
"Cough";"Toser"
"Could (as in past of can for ability)";"Podía"
"Country";"País"
"Countryside";"Campo"
"Cry";"Llorar"
"Cup";"Taza"
"Curly";"Rizado"
"Daisy";"Daisy"
"Dance";"Bailar"
"Dangerous";"Peligroso"
"Daughter";"Hija"
"Dentist";"Dentista"
"Difference";"Diferencia"
"Different";"Diferente"
"Difficult";"Difícil"
"Doctor";"Médico"
"Dolphin";"Delfín"
