"Ingles";"Espanol"
"A";"Un / una"
"Add";"Añadir"
"Afternoon";"Tarde"
"Again";"Otra vez"
"Alex";"Alex"
"Alice";"Alice"
"Alien";"Extraterrestre"
"Alphabet";"Alfabeto"
"An";"Un / una"
"And";"Y"
"Angry";"Enfadado"
"Animal";"Animal"
"Ann";"Ann"
"Anna";"Anna"
"Answer";"Respuesta"
"Apartment";"Apartamento"
"Apple";"Manzana"
"Arm";"Brazo"
"Armchair";"Sillón"
"Ask";"Preguntar"
"At";"En"
"Baby";"Bebé"
"Badminton";"Bádminton"
"Bag";"Bolsa"
"Ball";"Pelota"
"Balloon";"Globo"
"Banana";"Plátano"
"Baseball";"Béisbol"
"Baseball cap";"Gorra"
"Basketball";"Baloncesto"
"Bat";"Bate"
"Bath";"Baño"
"Bathroom";"Baño"
"Be";"Ser / estar"
"Beach";"Playa"
"Bean";"Judía"
"Bear";"Oso"
"Beautiful";"Bonito"
"Bed";"Cama"
"Bedroom";"Dormitorio"
"Bee";"Abeja"
"Behind";"Detrás de"
"Ben";"Ben"
"Between";"Entre"
"Big";"Grande"
"Bike";"Bicicleta"
"Bill";"Bill"
"Bird";"Pájaro"
"Birthday";"Cumpleaños"
"Black";"Negro"
"Blue";"Azul"
"Board";"Tablero"
"Board game";"Juego de mesa"
"Boat";"Barco"
"Body";"Cuerpo"
"Book";"Libro"
"Bookcase";"Estantería"
"Bookshop";"Librería"
"Boots";"Botas"
"Bounce";"Rebotar"
"Box";"Caja"
"Boy";"Niño"
"Bread";"Pan"
"Breakfast";"Desayuno"
"Brother";"Hermano"
"Brown";"Marrón"
"Burger";"Hamburguesa"
"Bus";"Autobús"
"But";"Pero"
"Bye";"Adiós"
"Cake";"Pastel"
"Camera";"Cámara"
"Can";"Poder"
"Candy";"Caramelo, un dulce"
"Car";"Coche"
"Carrot";"Zanahoria"
"Cat";"Gato"
"Catch";"Coger"
"Chair";"Silla"
"Chicken";"Pollo"
"Child";"Niño"
"Children";"Niños"
"Chips";"Patatas fritas"
"Chocolate";"Chocolate"
"Choose";"Elegir"
"Clap";"Aplaudir"
"Class";"Clase"
"Classmate";"Compañero de clase"
"Classroom";"Aula"
"Clean";"Limpio"
"Clock";"Reloj"
"Close";"Cerrar"
"Closed";"Cerrado"
"Clothes";"Ropa"
"Coconut";"Coco"
"Colour";"Color"
"Color";"Color"
"Come";"Venir"
"Complete";"Completar"
"Computer";"Ordenador"
"Cool";"Guay"
"Correct";"Correcto"
"Count";"Contar"
"Cousin";"Primo"
"Cow";"Vaca"
"Crayon";"Lápiz de colores"
"Crocodile";"Cocodrilo"
"Cross";"Cruz"
"Cupboard";"Armario"
"Dad";"Papá"
"Dan";"Dan"
"Day";"Día"
"Desk";"Escritorio"
"Dining room";"Comedor"
"Dinner";"Cena"
"Dirty";"Sucio"
"Do";"Hacer"
"Dog";"Perro"
"Doll";"Muñeca"
"Donkey";"Burro"
"Don’t worry";"No te preocupes"
"Door";"Puerta"
"Double";"Doble"
"Draw";"Dibujar"
"Drawing";"Dibujo"
"Dress";"Vestido"
"Drink";"Beber"
"Drive";"Conducir"
"Duck";"Pato"
"Ear";"Oreja"
"Eat";"Comer"
"Egg";"Huevo"
"Elephant";"Elefante"
"End";"Final"
"English";"Inglés"
"Enjoy";"Disfrutar"
"Eraser";"Goma"
"Eva";"Eva"
"Evening";"Tarde-noche"
"Example";"Ejemplo"
"Eye";"Ojo"
"Face";"Cara"
"Family";"Familia"
"Fantastic";"Fantástico"
"Father";"Padre"
"Favourite";"Favorito"
"Favorite";"Favorito"
"Find";"Encontrar"
"Fish";"Pez"
"Fishing";"Pesca"
"Flat";"Piso"
"Floor";"Suelo"
"Flower";"Flor"
"Fly";"Volar"
"Food";"Comida"
"Foot";"Pie"
"Feet";"Pies"
"Football";"Fútbol"
"For";"Para"
"Friend";"Amigo"
"Fries";"Patatas fritas"
"Frog";"Rana"
"From";"De"
"Fruit";"Fruta"
"Fun";"Divertido"
"Funny";"Gracioso"
"Game";"Juego"
"Garden";"Jardín"
"Get";"Conseguir"
"Giraffe";"Jirafa"
"Girl";"Niña"
"Give";"Dar"
"Glasses";"Gafas"
"Go";"Ir"
"Go to bed";"Ir a la cama"
"Go to sleep";"Dormirse"
"Goat";"Cabra"
"Good";"Bueno"
"Goodbye";"Adiós"
"Grace";"Grace"
"Grandfather";"Abuelo"
"Grandma";"Abuela"
"Grandmother";"Abuela"
"Grandpa";"Abuelo"
"Grape";"Uva"
"Gray";"Gris"
"Grey";"Gris"
"Great";"Genial"
"Green";"Verde"
"Guitar";"Guitarra"
"Hair";"Pelo"
"Hall";"Pasillo"
"Hand";"Mano"
"Handbag";"Bolso"
"Happy";"Feliz"
"Hat";"Sombrero"
"Have";"Tener"
"Have got";"Tener"
"He";"Él"
"Head";"Cabeza"
"Helicopter";"Helicóptero"
"Hello";"Hola"
"Her";"Su (de ella)"
"Here";"Aquí"
"Hers";"Suyo"
"Hi";"Hola"
"Him";"A él"
"Hippo";"Hipopótamo"
"His";"Su"
"Hit";"Golpear"
"Hobby";"Afición"
"Hockey";"Hockey"
"Hold";"Sujetar"
"Home";"Casa"
"Hooray";"¡bien!"
"Horse";"Caballo"
"House";"Casa"
"How";"Cómo"
"How many";"Cuántos"
"How old";"Qué edad"
"Hugo";"Hugo"
"I";"Yo"
"Ice cream";"Helado"
"In";"En"
"In front of";"Delante de"
"It";"Ello"
"Its";"Su"
"Jacket";"Chaqueta"
"Jeans";"Vaqueros"
"Jellyfish";"Medusa"
"Jill";"Jill"
"Juice";"Zumo"
"Jump";"Saltar"
"Keyboard";"Teclado"
"Kick";"Dar una patada"
"Kid";"Niño"
"Kim";"Kim"
"Kitchen";"Cocina"
"Kite";"Cometa"
"Kiwi";"Kiwi"
"Know";"Saber"
"Lamp";"Lámpara"
"Learn";"Aprender"
"Leg";"Pierna"
"Lemon";"Limón"
"Lemonade";"Limonada"
"Lesson";"Lección"
"Let’s";"Vamos a"
"Letter";"Letra"
"Like";"Gustar"
"Lime";"Lima"
"Line";"Línea"
"Listen";"Escuchar"
"Live";"Vivir"
"Living room";"Salón"
"Lizard";"Lagarto"
"Long";"Largo"
"Look";"Mirar"
"Look at";"Mirar"
"Lorry";"Camión"
"A lot";"Mucho, un montón"
"A lot of";"Mucho, un montón de"
"Lots";"Muchos, montones"
"Lots of";"Muchos, montones de"
"Love";"Amar"
"Lucy";"Lucy"
"Lunch";"Almuerzo"
"Make";"Hacer"
"Man";"Hombre"
"Men";"Hombres"
"Mango";"Mango"
"Many";"Muchos"
"Mark";"Mark"
"Mat";"Alfombra"
"Matt";"Matt"
"May";"May"
"Me";"Me"
"Me too";"Yo también"
"Meat";"Carne"
"Meatballs";"Albóndigas"
"Milk";"Leche"
"Mine";"Mío"
"Mirror";"Espejo"
"Miss";"Señorita"
"Monkey";"Mono"
"Monster";"Monstruo"
"Morning";"Mañana"
"Mother";"Madre"
"Motorbike";"Moto"
"Mouse";"Ratón"
"Mice";"Ratones"
"Mouth";"Boca"
"Mr";"Señor"
"Mrs";"Señora"
"Mum";"Mamá"
"Music";"Música"
"My";"Mi"
"Name";"Nombre"
"New";"Nuevo"
"Next to";"Al lado de"
"Nice";"Agradable"
"Nick";"Nick"
"Night";"Noche"
"No";"No"
"Nose";"Nariz"
"Not";"No"
"Now";"Ahora"
"Number";"Número"
"Of";"De"
"Oh";"Oh"
"Oh dear";"Vaya"
"Ok";"Vale"
"Old";"Viejo"
"On";"Sobre"
"One";"Uno"
"Onion";"Cebolla"
"Open";"Abrir"
"Or";"O"
"Orange";"Naranja"
"Our";"Nuestro"
"Ours";"Nuestro"
"Page";"Página"
"Paint";"Pintar"
"Painting";"Pintura"
"Paper";"Papel"
"Pardon";"Perdón"
"Park";"Parque"
"Part";"Parte"
"Pat";"Pat"
"Pea";"Guisante"
"Pear";"Pera"
"Pen";"Bolígrafo"
"Pencil";"Lápiz"
"Person";"Persona"
"People";"Gente"
"Pet";"Mascota"
"Phone";"Teléfono"
"Photo";"Foto"
"Piano";"Piano"
"Pick up";"Recoger"
"Picture";"Imagen"
"Pie";"Tarta"
"Pineapple";"Piña"
"Pink";"Rosa"
"Plane";"Avión"
"Play";"Jugar"
"Playground";"Patio"
"Please";"Por favor"
"Point";"Señalar"
"Polar bear";"Oso polar"
"Poster";"Póster"
"Potato";"Patata"
"Purple";"Morado"
"Put";"Poner"
"Question";"Pregunta"
"Radio";"Radio"
"Read";"Leer"
"Really";"Realmente"
"Red";"Rojo"
"Rice";"Arroz"
"Ride";"Montar"
"Right";"Derecha"
"Robot";"Robot"
